# index, label, _pos
205,"BILKE, S","array([-70.96315817,  43.99504655])"
206,"PETERSON, C","array([-72.98847705,  45.2501594 ])"
207,"BLANCHARD, P","array([30.38226871, -0.32326582])"
208,"CHANG, C","array([28.66392328,  1.68292371])"
209,"KRUGER, T","array([30.88542677,  2.23810346])"
210,"BLASIUS, B","array([ 31.22862872, -50.59916996])"
211,"HUPPERT, A","array([ 33.08214474, -49.04637605])"
212,"STONE, L","array([ 30.87631608, -48.22526512])"
213,"BLOWER, S","array([-28.6774793 , -36.06416809])"
214,"SAMUEL, M","array([-28.45478916, -33.69606811])"
215,"WILEY, J","array([-26.52849507, -34.99083608])"
216,"BOCCALETTI, S","array([ 1.80363849, 16.02637349])"
217,"BRAGARD, J","array([ 1.89537354, 13.48106325])"
218,"MANCINI, H","array([-0.08229664, 14.02427504])"
219,"KURTHS, J","array([-4.71820481, 11.67589969])"
220,"VALLADARES, D","array([-1.95942922, 13.73456157])"
221,"OSIPOV, G","array([-2.96693773, 12.11205154])"
222,"ZHOU, C","array([-4.25809026, 14.98459638])"
223,"PELAEZ, A","array([ 5.31937015, 13.19584951])"
224,"MAZA, D","array([-2.08517961, 15.28758036])"
225,"BOGUNA, M","array([ 9.21004444, 32.69294559])"
226,"BOHLAND, J","array([ 96.35363443, -18.58991098])"
227,"MINAI, A","array([ 94.12390681, -17.73733063])"
228,"BOLLOBAS, B","array([-77.84320446,  39.00453299])"
229,"RIORDAN, O","array([-79.53510162,  40.19356973])"
230,"SPENCER, J","array([-79.03775716,  37.35127485])"
231,"TUSNADY, G","array([-80.73723612,  38.53120842])"
232,"BONACICH, P","array([-22.99255461,  54.1529021 ])"
233,"BONANNO, G","array([10.33337883, 51.80064723])"
234,"LILLO, F","array([ 9.48923096, 50.13019831])"
235,"MANTEGNA, R","array([12.11584252, 47.93046682])"
236,"BONNEKOH, J","array([ 58.8158361 , 114.53114767])"
237,"BORDENS, M","array([ 55.09009849, -39.30630794])"
238,"GOMEZ, I","array([ 56.7592907 , -37.71812316])"
239,"BORGATTI, S","array([ -3.75508688, 108.13067294])"
240,"EVERETT, M","array([ -0.94118251, 109.0068511 ])"
241,"FOSTER, P","array([ -4.26161031, 110.99768967])"
242,"BORGERS, C","array([-16.72021381,  71.62147257])"
243,"KOPELL, N","array([-19.08240648,  70.12130723])"
244,"BORNHOLDT, S","array([-61.87224905, -26.07749162])"
245,"EBEL, H","array([-63.67430145, -23.77589682])"
246,"ROHLF, T","array([-60.94486077, -28.91255348])"
247,"SCHUSTER, H","array([-58.01780882, -25.83439851])"
248,"BOTA, M","array([ 97.4890871 , -11.12078423])"
249,"DONG, H","array([98.28278908, -8.95586996])"
250,"SWANSON, L","array([95.96382421, -9.33667778])"
251,"MENDOZA, C","array([ 2.98691121, 14.78699653])"
252,"HENTSCHEL, H","array([ 1.38535726, 17.30255095])"
253,"BRANDES, U","array([-81.51241295, -13.06535246])"
254,"BREIGER, R","array([ 46.44213486, -13.39075574])"
255,"BOORMAN, S","array([ 44.95969419, -12.10282275])"
256,"ARABIE, P","array([ 47.47137905, -10.87625718])"
257,"BRESSLER, S","array([-58.15711748,  60.83910088])"
258,"BRIN, S","array([ -2.55811965, 121.27112063])"
259,"PAGE, L","array([ -4.52831298, 120.71171913])"
260,"BROADBENT, S","array([ 80.8346548 , -11.32740412])"
261,"HAMMERSLEY, J","array([81.33558149, -9.04711098])"
262,"BRODER, A","array([23.3368382 , 72.69840137])"
263,"KUMAR, R","array([21.67022863, 73.03094022])"
264,"MAGHOUL, F","array([24.39049817, 73.71597661])"
265,"RAGHAVAN, P","array([22.32437259, 71.26965025])"
266,"RAJAGOPALAN, S","array([23.38062798, 70.57754872])"
267,"STATA, R","array([22.7412303 , 74.19579653])"
268,"TOMKINS, A","array([21.94518716, 70.26863015])"
269,"WIENER, J","array([24.75585743, 72.10235124])"
270,"BROIDA, A","array([ 80.12320431, -20.94084652])"
271,"CLAFFY, K","array([ 77.95712095, -21.69159324])"
272,"BUCHANAN, M","array([-6.96498237, 60.39933165])"
273,"BUCHEL, C","array([67.20915378, 14.14570292])"
274,"COULL, J","array([65.00053379, 14.85586457])"
275,"FRISTON, K","array([65.38406466, 12.16966861])"
276,"BUCOLO, M","array([62.03281697, 53.3328688 ])"
277,"FORTUNA, L","array([58.61009024, 53.24087374])"
278,"LAROSA, M","array([59.21016107, 52.10499883])"
279,"BUHL, J","array([15.78520651, 49.92192461])"
280,"GAUTRAIS, J","array([16.63593556, 51.11851393])"
281,"SOLE, R","array([18.50670863, 47.24313386])"
282,"KUNTZ, P","array([14.94366622, 51.47997189])"
283,"VALVERDE, S","array([17.24569789, 49.32302217])"
284,"DENEUBOURG, J","array([15.60268478, 48.28930353])"
285,"THERAULAZ, G","array([14.38580358, 49.55383537])"
286,"BURDA, Z","array([-50.07304135,   7.97907535])"
287,"CORREIA, J","array([-47.63346271,   7.58281151])"
288,"KRZYWICKI, A","array([-49.2905625 ,   5.75014124])"
289,"JURKIEWICZ, J","array([-51.71420775,   6.14915949])"
290,"BURIONI, R","array([-29.27111437,  51.58459385])"
291,"CASSI, D","array([-30.19408761,  49.41283713])"
292,"VEZZANI, A","array([-31.66254116,  51.29309596])"
293,"BURNS, G","array([ 16.25048874, -29.90428225])"
294,"YOUNG, M","array([ 19.50184834, -30.55406455])"
295,"BURT, R","array([114.3619302 ,  10.90627411])"
296,"BUZSAKI, G","array([-41.50167677, -62.39833777])"
297,"CHROBAK, J","array([-44.35173858, -62.81883022])"
298,"GEISLER, C","array([-40.21470735, -64.06027326])"
299,"HENZE, D","array([-38.68149952, -63.07072276])"
300,"WANG, X","array([-39.15584537, -60.80531615])"
301,"CALDARELLI, G","array([21.99237976, 28.79854979])"
302,"DELOSRIOS, P","array([27.40959685, 28.41070978])"
303,"MUNOZ, M","array([28.37550098, 25.71184038])"
304,"COCCETTI, F","array([25.60016822, 26.80830069])"
305,"CALLAWAY, D","array([24.6609515 , 60.69945594])"
306,"HOPCROFT, J","array([25.17648815, 62.17887306])"
307,"KLEINBERG, J","array([23.1458779 , 65.20625448])"
308,"STROGATZ, S","array([22.89095566, 61.53293532])"
309,"WATTS, D","array([26.69776728, 61.03639377])"
310,"CAMACHO, J","array([13.70396482, 42.48074196])"
311,"CAMPBELL, N","array([ 40.5977961 , 118.05960736])"
312,"REECE, J","array([ 38.25515271, 117.94668069])"
313,"CAMPBELL, S","array([-38.16574842, -13.75570935])"
314,"WANG, D","array([-35.71893646, -13.32216762])"
315,"JAYAPRAKASH, C","array([-37.43363873, -11.51819653])"
316,"SERVEDIO, V","array([24.96893428, 28.55322217])"
317,"COLAIORI, F","array([25.89457932, 30.77659297])"
318,"CARLSON, J","array([120.67755408,   8.78029024])"
319,"DOYLE, J","array([120.89048973,   6.29894521])"
320,"CARRERAS, B","array([-11.209221 ,  94.0422196])"
321,"LYNCH, V","array([-9.18526052, 94.95770203])"
322,"DOBSON, I","array([-10.13305638,  96.94968528])"
323,"NEWMAN, D","array([-12.08661026,  95.78015479])"
324,"DOLROU, I","array([-14.15823484,  95.12190203])"
325,"POOLE, A","array([-13.39245985,  93.14380281])"
326,"CARUSO, F","array([51.81932718, 49.58518905])"
327,"LATORA, V","array([49.90551655, 51.43341256])"
328,"RAPISARDA, A","array([52.30317849, 51.61720672])"
329,"TADIC, B","array([54.04225428, 48.07144882])"
330,"CASTELLANO, C","array([13.82036406, 23.0649995 ])"
331,"VILONE, D","array([13.27422435, 25.85813982])"
332,"CATANIA, J","array([-39.20440447,  11.06632801])"
333,"COATES, T","array([-38.29064606,   9.21379027])"
334,"KEGELS, S","array([-40.11744498,   8.31200447])"
335,"FULLILOVE, M","array([-41.03206932,  10.14777442])"
336,"CHALLET, D","array([107.90220963,  68.604087  ])"
337,"ZHANG, Y","array([106.44884482,  71.40022915])"
338,"CHAN, D","array([ 22.79774407, -50.57418011])"
339,"HUGHES, B","array([ 22.77212711, -52.58890809])"
340,"LEONG, A","array([ 20.71381818, -52.52045768])"
341,"REED, W","array([ 20.76059442, -50.49431791])"
342,"CHATE, H","array([-6.93658958,  2.83800071])"
343,"PIKOVSKY, A","array([-6.28334088,  7.71653214])"
344,"RUDZICK, O","array([-5.16274491,  3.90618447])"
345,"CHAVEZ, M","array([ 2.78124003, 18.57785122])"
346,"HWANG, D","array([ 3.2598599 , 20.67595835])"
347,"AMANN, A","array([ 0.75220788, 19.4173297 ])"
348,"CHEN, Q","array([-65.75496508,  53.57449909])"
349,"CHANG, H","array([-68.53142311,  51.91917703])"
350,"GOVINDAN, R","array([-65.1844824,  51.5294173])"
351,"JAMIN, S","array([-67.73036559,  53.71815208])"
352,"SHENKER, S","array([-67.04915965,  50.56197262])"
353,"WILLINGER, W","array([-66.77295985,  52.23225761])"
354,"CHEN, Y","array([ 65.5155395 , -24.49201212])"
355,"RANGARAJAN, G","array([ 63.17412339, -24.51149421])"
356,"DING, M","array([ 64.31010116, -22.504069  ])"
357,"CHERNIAK, C","array([-13.94946515,  47.63645501])"
358,"CHANGIZI, M","array([-15.25771706,  49.1982449 ])"
359,"KANG, D","array([-12.80588322,  49.92047502])"
360,"MOKHTARZADA, Z","array([-16.89465768,  47.85863055])"
361,"RODRIGUEZESTEBAN, R","array([-15.5336226,  46.2703212])"
362,"CHKLOVSKII, D","array([68.70853291, 77.92244184])"
363,"KOULAKOV, A","array([71.01123678, 81.09106892])"
364,"MEL, B","array([68.77952845, 81.76057296])"
365,"SVOBODA, K","array([66.83920481, 81.51932021])"
366,"CHOWELL, G","array([21.10649124, -4.46387174])"
367,"HYMAN, J","array([21.31647663, -2.09906687])"
368,"EUBANK, S","array([23.20065592, -3.48181045])"
369,"VU, V","array([62.26191375, 96.28568342])"
370,"CLAUSET, A","array([24.63060964, 58.27088755])"
371,"MOORE, C","array([25.21012642, 56.5798484 ])"
372,"COHEN, J","array([-37.6446824 ,  67.96605265])"
373,"BRIAND, F","array([-39.38446779,  66.34926623])"
374,"NEWMAN, C","array([-39.91342169,  68.64027367])"
375,"COHEN, R","array([52.27859267, 30.68043197])"
376,"BENAVRAHAM, D","array([51.0257577 , 29.35478925])"
377,"HAVLIN, S","array([52.67299784, 28.84912796])"
378,"EREZ, K","array([53.14927987, 27.00097384])"
379,"CONNOR, R","array([54.36409494, 82.71455487])"
380,"HEITHAUS, M","array([52.67953168, 84.42307081])"
381,"BARRE, L","array([55.03696882, 85.03090808])"
382,"COPPERSMITH, S","array([ 73.34212615, -44.99397654])"
383,"KADANOFF, L","array([ 71.57649587, -43.29996861])"
384,"ZHANG, Z","array([ 71.04450996, -45.62418243])"
385,"CORDES, D","array([ -6.15664486, -52.05753826])"
386,"HAUGHTON, V","array([ -7.86734103, -52.09288747])"
387,"ARFANAKIS, K","array([ -7.20829947, -53.44934765])"
388,"CAREW, J","array([ -4.6045603 , -52.82671992])"
389,"TURSKI, P","array([ -7.21825415, -50.7716528 ])"
390,"MORITZ, C","array([ -4.63409648, -51.37483666])"
391,"QUIGLEY, M","array([ -5.79672673, -53.76159745])"
392,"MEYERAND, M","array([ -5.76832582, -50.43133938])"
393,"CORMAN, S","array([46.79297819, 89.45827355])"
394,"KUHN, T","array([44.74049475, 89.13026966])"
395,"MCPHEE, R","array([44.40984565, 91.21571535])"
396,"DOOLEY, K","array([46.4281609 , 91.50482403])"
397,"CORMEN, T","array([-7.8559659 , 66.48842804])"
398,"LEISERSON, C","array([-9.91234829, 66.78152388])"
399,"RIVEST, R","array([-7.53876419, 68.52727349])"
400,"STEIN, C","array([-9.58870713, 68.87848243])"
401,"COSENZA, S","array([58.2753057 , 50.70231541])"
402,"CRUCITTI, P","array([53.99554942, 50.17506581])"
403,"FRASCA, M","array([57.24810345, 53.81023377])"
404,"STAGNI, C","array([56.94415752, 51.10099101])"
405,"USAI, L","array([56.53384556, 52.53305565])"
406,"COULUMB, S","array([-12.75557324, -17.40452492])"
407,"CRANE, D","array([110.96753011,  -2.25722932])"
408,"CRIADO, R","array([33.68577795, 97.88266553])"
409,"FLORES, J","array([35.49411302, 96.75687973])"
410,"HERNANDEZBERMEJO, B","array([33.13395684, 96.43621754])"
411,"PELLO, J","array([34.96092215, 94.92976353])"
412,"ROMANCE, M","array([32.7842582 , 94.98909414])"
413,"GARCIADELAMO, A","array([31.09061233, 97.11556278])"
414,"CRICK, F","array([-53.2355298, -28.7568217])"
415,"KOCH, C","array([-53.98389761, -25.6538841 ])"
416,"MARCHIORI, M","array([50.08886119, 53.6500564 ])"
417,"PORTA, S","array([53.65550088, 52.87972066])"
418,"CSANYI, G","array([  0.26377725, -36.27775724])"
419,"SZENDROI, B","array([  1.7135519 , -34.48942801])"
420,"CSERMELY, P","array([ -0.76552643, -29.33619457])"
421,"CSETE, M","array([120.94827291,   3.85469643])"
422,"CUNHA, C","array([84.88337874,  3.77890245])"
423,"BESTAVROS, A","array([85.14667847,  6.08306465])"
424,"CROVELLA, M","array([87.02175842,  4.69631038])"
425,"CVETKOVIC, D","array([ 52.40513661, -75.5486139 ])"
426,"DOOB, M","array([ 54.70486183, -76.06153282])"
427,"SACHS, H","array([ 53.95433357, -73.80179151])"
428,"DAFONTOURACOSTA, L","array([36.18953236, 67.10788428])"
429,"DIAMBRA, L","array([34.46420105, 70.02679008])"
430,"DALEY, D","array([ 67.9703802 , -60.45679219])"
431,"GANI, J","array([ 70.42402516, -60.17624594])"
432,"KENDALL, D","array([ 65.62031373, -61.19791622])"
433,"DALL, J","array([ 83.51603835, -16.51159846])"
434,"CHRISTENSEN, M","array([ 85.79100849, -16.83439364])"
435,"DAVIDSEN, J","array([-64.84511657, -25.59210442])"
436,"DAVIS, A","array([69.42226478, 23.2198474 ])"
437,"GARDNER, B","array([71.22220286, 21.68528963])"
438,"GARDNER, M","array([69.0461517 , 20.86548707])"
439,"DAVIS, G","array([-29.40498699,  39.828541  ])"
440,"GREVE, H","array([-31.07928705,  37.87217444])"
441,"YOO, M","array([-27.40169689,  41.21228348])"
442,"DEARCANGELIS, L","array([ 5.24436793, 46.61651696])"
443,"HERRMANN, H","array([ 8.78109413, 47.24679298])"
444,"DECASTRO, R","array([ 16.04200888, -74.89435275])"
445,"GROSSMAN, J","array([ 14.69160662, -72.7878762 ])"
446,"DEFFUANT, G","array([122.00887645,  24.4289231 ])"
447,"NEAU, D","array([122.52427273,  21.51683123])"
448,"AMBLARD, F","array([123.71023724,  23.24648407])"
449,"WEISBUCH, G","array([120.84323953,  22.71419337])"
450,"DEFRAYSSEIX, H","array([12.79363047, 54.97426694])"
451,"DEGROOT, M","array([78.95926868, -4.68075888])"
452,"DELIMAESILVA, D","array([106.89824766,  57.3080992 ])"
453,"MEDEIROSSOARES, M","array([108.63642294,  55.26195977])"
454,"HENRIQUES, M","array([105.60628313,  56.6093872 ])"
455,"SCHIVANIALVES, M","array([107.72081225,  54.0568422 ])"
456,"DEAGUILAR, S","array([106.26313153,  54.02894398])"
457,"DECARVALHO, T","array([106.93762472,  55.63190447])"
458,"CORSO, G","array([105.27631865,  55.1777874 ])"
459,"LUCENA, L","array([108.26268623,  56.67897924])"
460,"DELUCIA, M","array([23.37727742, 17.35871382])"
461,"BOTTACCIO, M","array([22.20112841, 18.76066694])"
462,"MONTUORI, M","array([24.5673942 , 18.77069481])"
463,"PIETRONERO, L","array([23.02215353, 22.00369083])"
464,"DEMENEZES, M","array([48.86916037, 26.17310525])"
465,"MOUKARZEL, C","array([51.14869511, 22.60108571])"
466,"PENNA, T","array([49.19337036, 22.06480753])"
467,"DEMERS, A","array([-15.10240462,  -9.45112036])"
468,"GREENE, D","array([-12.61279934,  -7.95225895])"
