# index, label, value, _pos
67,hope,1,"array([-11.56659383,   3.47580992])"
68,long,0,"array([-11.58743384,   3.50379206])"
69,greater,0,"array([-11.56267757,   3.69863682])"
70,hand,1,"array([-11.62974368,   3.50916859])"
71,hard,0,"array([-11.5055982 ,   3.47384707])"
72,red,0,"array([-11.58457773,   3.48768549])"
73,life,1,"array([-11.53456641,   3.53211739])"
74,glad,0,"array([-11.70142429,   3.34783429])"
75,large,0,"array([-11.59161239,   3.47193672])"
76,new,0,"array([-11.63303586,   3.47166753])"
77,white,0,"array([-11.50821508,   3.51725001])"
78,late,0,"array([-11.71223002,   3.58606818])"
79,whole,0,"array([-11.70944517,   3.55655272])"
80,light,0,"array([-11.67010832,   3.51984951])"
81,manner,1,"array([-11.69183229,   3.60325929])"
82,bed,1,"array([-11.53799109,   3.41917235])"
83,house,1,"array([-11.66297685,   3.59720884])"
84,low,0,"array([-11.68301065,   3.54431623])"
85,money,1,"array([-11.49101946,   3.57640768])"
86,ready,0,"array([-11.63240422,   3.43451324])"
87,small,0,"array([-11.62265021,   3.55157894])"
88,strange,0,"array([-11.61292909,   3.46939387])"
89,thought,1,"array([-11.64650038,   3.45430629])"
90,lost,0,"array([-11.68815213,   3.70678668])"
91,alone,0,"array([-11.45678685,   3.61407069])"
92,nothing,1,"array([-11.7113096 ,   3.43466992])"
93,miserable,0,"array([-11.51586247,   3.58915006])"
94,natural,0,"array([-11.70599125,   3.6710866 ])"
95,half,1,"array([-11.77303682,   3.37996226])"
96,wrong,0,"array([-11.74329684,   3.46194858])"
97,name,1,"array([-11.50386796,   3.6630562 ])"
98,pleasant,0,"array([-11.63708306,   3.62963868])"
99,possible,0,"array([-11.71219544,   3.46931405])"
100,side,1,"array([-11.74975578,   3.5461862 ])"
101,perfect,0,"array([-11.57042306,   3.40328025])"
102,poor,0,"array([-11.54424848,   3.55069522])"
103,quiet,0,"array([-11.59672963,   3.54395649])"
104,same,0,"array([-11.60461224,   3.55967726])"
105,strong,0,"array([-11.56148216,   3.5587274 ])"
106,something,1,"array([-11.68026173,   3.45465468])"
107,true,0,"array([-11.75860279,   3.58300359])"
108,usual,0,"array([-11.61537868,   3.6193486 ])"
109,family,1,"array([-11.7986122 ,   3.59698935])"
110,world,1,"array([-11.79724163,   3.54778318])"
111,year,1,"array([-11.5330082,   3.6817079])"
